DL comb;DL MIMO;DL BW;DL Unk A;DL Unk B;DL Unk C;UL comb;UL MIMO;UL BW;UL Unk A;UL Unk B;UL Unk C
3-7_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];7_n78;[1];[40];[2];[2];[0]
3-7_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];7_n78;[1];[40];[2];[2];[0]
3-7_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];7_n78;[1];[40];[2];[2];[0]
3-7C_n28;[2];[10];[1];[2];[0];7_n28;[1];[10];[1];[2];[0]
3-7C_n28;[2];[10];[1];[2];[0];7_n28;[1];[10];[1];[2];[0]
3-7C_n28;[2];[10];[1];[2];[0];7_n28;[1];[10];[1];[2];[0]
3-7C_n28;[2];[30];[1];[2];[0];7_n28;[1];[20];[1];[2];[0]
3-7C_n78;[4];[80];[2];[2];[1];7_n78;[1];[80];[2];[2];[0]
3-7C_n78;[4];[80];[2];[2];[1];7_n78;[1];[80];[2];[2];[0]
3-7C_n78;[4];[80];[2];[2];[1];7_n78;[1];[80];[2];[2];[0]
3-7_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];3_n78;[1];[40];[2];[2];[0]
3-7_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];3_n78;[1];[40];[2];[2];[0]
3-7_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];3_n78;[1];[40];[2];[2];[0]
3-7C_n28;[2];[10];[1];[2];[0];3_n28;[1];[10];[1];[2];[0]
3-7C_n28;[2];[10];[1];[2];[0];3_n28;[1];[10];[1];[2];[0]
3-7C_n28;[2];[10];[1];[2];[0];3_n28;[1];[10];[1];[2];[0]
3-7C_n28;[2];[30];[1];[2];[0];3_n28;[1];[20];[1];[2];[0]
3-7C_n78;[4];[80];[2];[2];[1];3_n78;[1];[80];[2];[2];[0]
3-7C_n78;[4];[80];[2];[2];[1];3_n78;[1];[80];[2];[2];[0]
3-7C_n78;[4];[80];[2];[2];[1];3_n78;[1];[80];[2];[2];[0]
3_n7_n78;[2, 2, 4];[30, 30, 80];[1, 1, 2];[2, 2, 2];[0, 0, 1];3_n78;[1];[80];[2];[2];[0]
3_n7_n78;[2, 2, 4];[30, 30, 80];[1, 1, 2];[2, 2, 2];[0, 0, 1];3_n78;[1];[80];[2];[2];[0]
3-7_n1_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];7_n78;[1];[80];[2];[2];[0]
3-7_n1_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];7_n1;[1];[20];[1];[2];[0]
3-7_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];7_n78;[1];[80];[2];[2];[0]
3-7_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];7_n28;[1];[10];[1];[2];[0]
3-7C_n1;[2];[40];[1];[2];[0];7_n1;[1];[20];[1];[2];[0]
3-28_n7;[2, 2];[40, 40];[1, 1];[2, 2];[0, 0];28_n7;[1];[20];[1];[2];[0]
3-7_n1_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];3_n78;[1];[80];[2];[2];[0]
3-7_n1_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];3_n1;[1];[20];[1];[2];[0]
3-7_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];3_n78;[1];[80];[2];[2];[0]
3-7_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];3_n28;[1];[10];[1];[2];[0]
3-7C_n1;[2];[40];[1];[2];[0];3_n1;[1];[20];[1];[2];[0]
3-7C_n1;[2];[40];[1];[2];[0];3_n1;[1];[20];[1];[2];[0]
3-28_n7;[2, 2];[40, 40];[1, 1];[2, 2];[0, 0];3_n7;[1];[20];[1];[2];[0]
3C-7_n28;[2];[10];[1];[2];[0];7_n28;[1];[10];[1];[2];[0]
3C-7_n28;[2];[10];[1];[2];[0];7_n28;[1];[10];[1];[2];[0]
3C-7_n28;[2];[10];[1];[2];[0];7_n28;[1];[10];[1];[2];[0]
3C-7_n28;[2];[30];[1];[2];[0];7_n28;[1];[20];[1];[2];[0]
3C-7_n78;[4];[80];[2];[2];[1];7_n78;[1];[80];[2];[2];[0]
3C-7_n78;[4];[80];[2];[2];[1];7_n78;[1];[80];[2];[2];[0]
3C-7_n78;[4];[80];[2];[2];[1];7_n78;[1];[80];[2];[2];[0]
3C-20_n1;[2];[30];[1];[2];[0];20_n1;[1];[20];[1];[2];[0]
3C-20_n1;[2];[40];[1];[2];[0];20_n1;[1];[20];[1];[2];[0]
3C-20_n7;[2];[30];[1];[2];[0];20_n7;[1];[20];[1];[2];[0]
3C-20_n7;[2];[30];[1];[2];[0];20_n7;[1];[20];[1];[2];[0]
3C-20_n7;[2];[40];[1];[2];[0];20_n7;[1];[20];[1];[2];[0]
3C-20_n7;[2];[30];[2];[2];[0];20_n7;[1];[50];[1];[2];[0]
3C-20_n78;[4];[80];[2];[2];[1];20_n78;[1];[80];[2];[2];[0]
3C-20_n78;[4];[80];[2];[2];[1];20_n78;[1];[80];[2];[2];[0]
3C-7_n28;[2];[10];[1];[2];[0];3_n28;[1];[10];[1];[2];[0]
3C-7_n28;[2];[10];[1];[2];[0];3_n28;[1];[10];[1];[2];[0]
3C-7_n28;[2];[10];[1];[2];[0];3_n28;[1];[10];[1];[2];[0]
3C-7_n28;[2];[30];[1];[2];[0];3_n28;[1];[20];[1];[2];[0]
3C-7_n78;[4];[80];[2];[2];[1];3_n78;[1];[80];[2];[2];[0]
3C-7_n78;[4];[80];[2];[2];[1];3_n78;[1];[80];[2];[2];[0]
3C-7_n78;[4];[80];[2];[2];[1];3_n78;[1];[80];[2];[2];[0]
3C-20_n78;[4];[80];[2];[2];[1];3_n78;[1];[80];[2];[2];[0]
3C-20_n78;[4];[80];[2];[2];[1];3_n78;[1];[80];[2];[2];[0]
3C_n1_n28;[2, 2];[30, 10];[1, 1];[2, 2];[0, 0];3_n28;[1];[10];[1];[2];[0]
3C_n1_n28;[2, 2];[40, 10];[1, 1];[2, 2];[0, 0];3_n28;[1];[10];[1];[2];[0]
3C_n1_n28;[2, 2];[40, 30];[1, 1];[2, 2];[0, 0];3_n28;[1];[20];[1];[2];[0]
3C_n1_n78;[2, 4];[30, 80];[1, 2];[2, 2];[0, 1];3_n78;[1];[80];[2];[2];[0]
3C_n1_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];3_n78;[1];[80];[2];[2];[0]
3C_n7_n28;[2, 2];[30, 10];[1, 1];[2, 2];[0, 0];3_n28;[1];[10];[1];[2];[0]
3C_n7_n28;[2, 2];[30, 10];[1, 1];[2, 2];[0, 0];3_n28;[1];[10];[1];[2];[0]
3C_n7_n28;[2, 2];[40, 10];[1, 1];[2, 2];[0, 0];3_n28;[1];[10];[1];[2];[0]
3C_n7_n28;[2, 2];[30, 30];[2, 1];[2, 2];[0, 0];3_n28;[1];[20];[1];[2];[0]
3C_n7_n78;[2, 4];[30, 80];[1, 2];[2, 2];[0, 1];3_n78;[1];[80];[2];[2];[0]
3C_n7_n78;[2, 4];[30, 80];[1, 2];[2, 2];[0, 1];3_n78;[1];[80];[2];[2];[0]
3C_n7_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];3_n78;[1];[80];[2];[2];[0]
3C_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];3_n78;[1];[80];[2];[2];[0]
3C_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];3_n78;[1];[80];[2];[2];[0]
3C_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];3_n28;[1];[10];[1];[2];[0]
3C_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];3_n28;[1];[10];[1];[2];[0]
3C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];3_n78;[1];[40];[2];[2];[0]
3C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];3_n78;[1];[40];[2];[2];[0]
3C-7_n1;[2];[40];[1];[2];[0];7_n1;[1];[20];[1];[2];[0]
3C-28_n7;[2];[30];[2];[2];[0];28_n7;[1];[50];[1];[2];[0]
3C-7_n1;[2];[40];[1];[2];[0];3_n1;[1];[20];[1];[2];[0]
3C-7_n1;[2];[40];[1];[2];[0];3_n1;[1];[20];[1];[2];[0]
3C-20_n1;[2];[40];[1];[2];[0];3_n1;[1];[20];[1];[2];[0]
3C-20_n7;[2];[40];[1];[2];[0];3_n7;[1];[20];[1];[2];[0]
3C-20_n7;[2];[30];[2];[2];[0];3_n7;[1];[50];[1];[2];[0]
3C-20_n28;[2];[10];[1];[2];[0];3_n28;[1];[10];[1];[2];[0]
3C-20_n28;[2];[30];[1];[2];[0];3_n28;[1];[20];[1];[2];[0]
3C-28_n7;[2];[30];[2];[2];[0];3_n7;[1];[50];[1];[2];[0]
3C_n1_n7;[2, 2];[40, 40];[1, 1];[2, 2];[0, 0];3_n7;[1];[20];[1];[2];[0]
3C_n1_n7;[2, 2];[40, 30];[1, 2];[2, 2];[0, 0];3_n7;[1];[50];[1];[2];[0]
3C_n1_n7;[2, 2];[40, 40];[1, 1];[2, 2];[0, 0];3_n1;[1];[20];[1];[2];[0]
3C_n1_n7;[2, 2];[40, 30];[1, 2];[2, 2];[0, 0];3_n1;[1];[20];[1];[2];[0]
3C_n1_n28;[2, 2];[40, 10];[1, 1];[2, 2];[0, 0];3_n1;[1];[20];[1];[2];[0]
3C_n1_n28;[2, 2];[40, 30];[1, 1];[2, 2];[0, 0];3_n1;[1];[20];[1];[2];[0]
3C_n1_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];3_n1;[1];[20];[1];[2];[0]
3C_n7_n28;[2, 2];[40, 10];[1, 1];[2, 2];[0, 0];3_n7;[1];[20];[1];[2];[0]
3C_n7_n28;[2, 2];[30, 30];[2, 1];[2, 2];[0, 0];3_n7;[1];[50];[1];[2];[0]
3C_n7_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];3_n7;[1];[20];[1];[2];[0]
3C_n7;[2, 2];[40, 40];[1, 1];[2, 2];[0, 0];3_n7;[1];[20];[1];[2];[0]
7C-20_n3;[2];[25];[2];[2];[0];20_n3;[1];[40];[1];[2];[0]
7C-20_n3;[4];[25];[2];[2];[0];20_n3;[1];[40];[1];[2];[0]
7C-20_n3;[4];[25];[2];[2];[0];20_n3;[1];[40];[1];[2];[0]
7C_n1_n78;[2, 4];[30, 80];[1, 2];[2, 2];[0, 1];7_n78;[1];[80];[2];[2];[0]
7C_n1_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];7_n78;[1];[80];[2];[2];[0]
7C_n1_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];7_n78;[1];[80];[2];[2];[0]
7C-20_n3;[4];[25];[2];[2];[0];7_n3;[1];[40];[1];[2];[0]
7C_n1_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];7_n1;[1];[20];[1];[2];[0]
7C_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];7_n78;[1];[80];[2];[2];[0]
7C_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];7_n28;[1];[10];[1];[2];[0]
7C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];7_n78;[1];[40];[2];[2];[0]
1-3-7_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];7_n78;[1];[40];[2];[2];[0]
1-3-7_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];3_n78;[1];[40];[2];[2];[0]
1-3C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];3_n78;[1];[40];[2];[2];[0]
1-3C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];3_n78;[1];[40];[2];[2];[0]
1-7C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];7_n78;[1];[40];[2];[2];[0]
1-7C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];7_n78;[1];[40];[2];[2];[0]
1-7C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];7_n78;[1];[40];[2];[2];[0]
1-3-7_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];1_n78;[1];[40];[2];[2];[0]
1-3C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];1_n78;[1];[40];[2];[2];[0]
1-3C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];1_n78;[1];[40];[2];[2];[0]
1-7C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];1_n78;[1];[40];[2];[2];[0]
1-7C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];1_n78;[1];[40];[2];[2];[0]
1-7C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];1_n78;[1];[40];[2];[2];[0]
1-3-7_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];7_n78;[1];[80];[2];[2];[0]
1-3-7_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];7_n28;[1];[10];[1];[2];[0]
1-3-7C_n28;[2];[10];[1];[2];[0];7_n28;[1];[10];[1];[2];[0]
1-3-7C_n28;[2];[30];[1];[2];[0];7_n28;[1];[20];[1];[2];[0]
1-3-7C_n78;[4];[80];[2];[2];[1];7_n78;[1];[80];[2];[2];[0]
1-3-7_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];3_n78;[1];[80];[2];[2];[0]
1-3-7_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];3_n28;[1];[10];[1];[2];[0]
1-3-7C_n28;[2];[10];[1];[2];[0];3_n28;[1];[10];[1];[2];[0]
1-3-7C_n28;[2];[30];[1];[2];[0];3_n28;[1];[20];[1];[2];[0]
1-3-7C_n78;[4];[80];[2];[2];[1];3_n78;[1];[80];[2];[2];[0]
1-3C-7_n28;[2];[10];[1];[2];[0];7_n28;[1];[10];[1];[2];[0]
1-3C-7_n28;[2];[30];[1];[2];[0];7_n28;[1];[20];[1];[2];[0]
1-3C-7_n78;[4];[80];[2];[2];[1];7_n78;[1];[80];[2];[2];[0]
1-3C-7_n28;[2];[10];[1];[2];[0];3_n28;[1];[10];[1];[2];[0]
1-3C-7_n28;[2];[30];[1];[2];[0];3_n28;[1];[20];[1];[2];[0]
1-3C-7_n78;[4];[80];[2];[2];[1];3_n78;[1];[80];[2];[2];[0]
1-3C_n7_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];3_n78;[1];[80];[2];[2];[0]
1-3C_n7_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];3_n7;[1];[20];[1];[2];[0]
1-3C_n7;[2, 2];[40, 40];[1, 1];[2, 2];[0, 0];3_n7;[1];[20];[1];[2];[0]
1-3C_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];3_n78;[1];[80];[2];[2];[0]
1-3C_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];3_n28;[1];[10];[1];[2];[0]
1-7C-20_n3;[4];[25];[2];[2];[0];20_n3;[1];[40];[1];[2];[0]
1-7C-20_n3;[4];[25];[2];[2];[0];7_n3;[1];[40];[1];[2];[0]
1-7C_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];7_n78;[1];[80];[2];[2];[0]
1-7C_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];7_n28;[1];[10];[1];[2];[0]
1-3-7_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];1_n78;[1];[80];[2];[2];[0]
1-3-7_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];1_n28;[1];[10];[1];[2];[0]
1-3-7C_n28;[2];[10];[1];[2];[0];1_n28;[1];[10];[1];[2];[0]
1-3-7C_n28;[2];[30];[1];[2];[0];1_n28;[1];[20];[1];[2];[0]
1-3-7C_n78;[4];[80];[2];[2];[1];1_n78;[1];[80];[2];[2];[0]
1-3C_n7_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];1_n7;[1];[20];[1];[2];[0]
1-3C-7_n28;[2];[10];[1];[2];[0];1_n28;[1];[10];[1];[2];[0]
1-3C-7_n28;[2];[30];[1];[2];[0];1_n28;[1];[20];[1];[2];[0]
1-3C-7_n78;[4];[80];[2];[2];[1];1_n78;[1];[80];[2];[2];[0]
1-3C_n7_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];1_n78;[1];[80];[2];[2];[0]
1-3C_n7;[2, 2];[40, 40];[1, 1];[2, 2];[0, 0];1_n7;[1];[20];[1];[2];[0]
1-3C_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];1_n78;[1];[80];[2];[2];[0]
1-3C_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];1_n28;[1];[10];[1];[2];[0]
1-7C-20_n3;[4];[25];[2];[2];[0];1_n3;[1];[40];[1];[2];[0]
1-7C_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];1_n78;[1];[80];[2];[2];[0]
1-7C_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];1_n28;[1];[10];[1];[2];[0]
3-7C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];7_n78;[1];[40];[2];[2];[0]
3-7C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];7_n78;[1];[40];[2];[2];[0]
3-7C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];7_n78;[1];[40];[2];[2];[0]
3-7C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];3_n78;[1];[40];[2];[2];[0]
3-7C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];3_n78;[1];[40];[2];[2];[0]
3-7C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];3_n78;[1];[40];[2];[2];[0]
3-7C_n1_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];7_n78;[1];[80];[2];[2];[0]
3-7C_n1_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];7_n1;[1];[20];[1];[2];[0]
3-7C_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];7_n78;[1];[80];[2];[2];[0]
3-7C_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];7_n28;[1];[10];[1];[2];[0]
3-7C_n1_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];3_n78;[1];[80];[2];[2];[0]
3-7C_n1_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];3_n1;[1];[20];[1];[2];[0]
3-7C_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];3_n78;[1];[80];[2];[2];[0]
3-7C_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];3_n28;[1];[10];[1];[2];[0]
3C-7_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];7_n78;[1];[40];[2];[2];[0]
3C-7_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];7_n78;[1];[40];[2];[2];[0]
3C-7_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];7_n78;[1];[40];[2];[2];[0]
3C-7C_n28;[2];[10];[1];[2];[0];7_n28;[1];[10];[1];[2];[0]
3C-7C_n28;[2];[10];[1];[2];[0];7_n28;[1];[10];[1];[2];[0]
3C-7C_n28;[2];[10];[1];[2];[0];7_n28;[1];[10];[1];[2];[0]
3C-7C_n28;[2];[30];[1];[2];[0];7_n28;[1];[20];[1];[2];[0]
3C-7C_n78;[4];[80];[2];[2];[1];7_n78;[1];[80];[2];[2];[0]
3C-7C_n78;[4];[80];[2];[2];[1];7_n78;[1];[80];[2];[2];[0]
3C-7C_n78;[4];[80];[2];[2];[1];7_n78;[1];[80];[2];[2];[0]
3C-7_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];3_n78;[1];[40];[2];[2];[0]
3C-7_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];3_n78;[1];[40];[2];[2];[0]
3C-7_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];3_n78;[1];[40];[2];[2];[0]
3C-7C_n28;[2];[10];[1];[2];[0];3_n28;[1];[10];[1];[2];[0]
3C-7C_n28;[2];[10];[1];[2];[0];3_n28;[1];[10];[1];[2];[0]
3C-7C_n28;[2];[10];[1];[2];[0];3_n28;[1];[10];[1];[2];[0]
3C-7C_n28;[2];[30];[1];[2];[0];3_n28;[1];[20];[1];[2];[0]
3C-7C_n78;[4];[80];[2];[2];[1];3_n78;[1];[80];[2];[2];[0]
3C-7C_n78;[4];[80];[2];[2];[1];3_n78;[1];[80];[2];[2];[0]
3C-7C_n78;[4];[80];[2];[2];[1];3_n78;[1];[80];[2];[2];[0]
3C_n7_n78;[2, 2, 4];[30, 30, 80];[1, 1, 2];[2, 2, 2];[0, 0, 1];3_n78;[1];[80];[2];[2];[0]
3C_n7_n78;[2, 2, 4];[30, 30, 80];[1, 1, 2];[2, 2, 2];[0, 0, 1];3_n78;[1];[80];[2];[2];[0]
3C-7_n1_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];7_n78;[1];[80];[2];[2];[0]
3C-7_n1_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];7_n1;[1];[20];[1];[2];[0]
3C-7_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];7_n78;[1];[80];[2];[2];[0]
3C-7_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];7_n28;[1];[10];[1];[2];[0]
3C-7C_n1;[2];[40];[1];[2];[0];7_n1;[1];[20];[1];[2];[0]
3C-28_n7;[2, 2];[40, 40];[1, 1];[2, 2];[0, 0];28_n7;[1];[20];[1];[2];[0]
3C-7_n1_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];3_n78;[1];[80];[2];[2];[0]
3C-7_n1_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];3_n1;[1];[20];[1];[2];[0]
3C-7_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];3_n78;[1];[80];[2];[2];[0]
3C-7_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];3_n28;[1];[10];[1];[2];[0]
3C-7C_n1;[2];[40];[1];[2];[0];3_n1;[1];[20];[1];[2];[0]
3C-7C_n1;[2];[40];[1];[2];[0];3_n1;[1];[20];[1];[2];[0]
3C-28_n7;[2, 2];[40, 40];[1, 1];[2, 2];[0, 0];3_n7;[1];[20];[1];[2];[0]
1-3-7C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];7_n78;[1];[40];[2];[2];[0]
1-3-7C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];3_n78;[1];[40];[2];[2];[0]
1-3C-7_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];7_n78;[1];[40];[2];[2];[0]
1-3C-7_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];3_n78;[1];[40];[2];[2];[0]
1-3-7C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];1_n78;[1];[40];[2];[2];[0]
1-3C-7_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];1_n78;[1];[40];[2];[2];[0]
1-3-7C_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];7_n78;[1];[80];[2];[2];[0]
1-3-7C_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];7_n28;[1];[10];[1];[2];[0]
1-3-7C_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];3_n78;[1];[80];[2];[2];[0]
1-3-7C_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];3_n28;[1];[10];[1];[2];[0]
1-3C-7_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];7_n78;[1];[80];[2];[2];[0]
1-3C-7_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];7_n28;[1];[10];[1];[2];[0]
1-3C-7C_n28;[2];[10];[1];[2];[0];7_n28;[1];[10];[1];[2];[0]
1-3C-7C_n28;[2];[30];[1];[2];[0];7_n28;[1];[20];[1];[2];[0]
1-3C-7C_n78;[4];[80];[2];[2];[1];7_n78;[1];[80];[2];[2];[0]
1-3C-7_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];3_n78;[1];[80];[2];[2];[0]
1-3C-7_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];3_n28;[1];[10];[1];[2];[0]
1-3C-7C_n28;[2];[10];[1];[2];[0];3_n28;[1];[10];[1];[2];[0]
1-3C-7C_n28;[2];[30];[1];[2];[0];3_n28;[1];[20];[1];[2];[0]
1-3C-7C_n78;[4];[80];[2];[2];[1];3_n78;[1];[80];[2];[2];[0]
1-3C_n7_n78;[2, 2, 4];[40, 40, 80];[1, 1, 2];[2, 2, 2];[0, 0, 1];3_n78;[1];[80];[2];[2];[0]
1-3C_n7_n78;[2, 2, 4];[40, 40, 80];[1, 1, 2];[2, 2, 2];[0, 0, 1];3_n7;[1];[20];[1];[2];[0]
1-3-7C_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];1_n78;[1];[80];[2];[2];[0]
1-3-7C_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];1_n28;[1];[10];[1];[2];[0]
1-3C_n7_n78;[2, 2, 4];[40, 40, 80];[1, 1, 2];[2, 2, 2];[0, 0, 1];1_n7;[1];[20];[1];[2];[0]
1-3C-7_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];1_n78;[1];[80];[2];[2];[0]
1-3C-7_n28_n78;[2, 4];[10, 80];[1, 2];[2, 2];[0, 1];1_n28;[1];[10];[1];[2];[0]
1-3C-7C_n28;[2];[10];[1];[2];[0];1_n28;[1];[10];[1];[2];[0]
1-3C-7C_n28;[2];[30];[1];[2];[0];1_n28;[1];[20];[1];[2];[0]
1-3C-7C_n78;[4];[80];[2];[2];[1];1_n78;[1];[80];[2];[2];[0]
1-3C_n7_n78;[2, 2, 4];[40, 40, 80];[1, 1, 2];[2, 2, 2];[0, 0, 1];1_n78;[1];[80];[2];[2];[0]
3C-7C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];7_n78;[1];[40];[2];[2];[0]
3C-7C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];7_n78;[1];[40];[2];[2];[0]
3C-7C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];7_n78;[1];[40];[2];[2];[0]
3C-7C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];3_n78;[1];[40];[2];[2];[0]
3C-7C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];3_n78;[1];[40];[2];[2];[0]
3C-7C_n78_n78;[4, 4];[60, 60];[2, 2];[2, 2];[0, 0];3_n78;[1];[40];[2];[2];[0]
3C-7C_n1_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];7_n78;[1];[80];[2];[2];[0]
3C-7C_n1_n78;[2, 4];[40, 80];[1, 2];[2, 2];[0, 1];7_n1;[1];[20];[1];[2];[0]
